name,address,city,state,postal_code,latitude,longitude,stars,categories
A Finer Edge,12332 Homestead Pl,Charlotte,NC,28277,35.038221,-80.796398,3,Home Services;Handyman
A Fresh Look Design,16706 New Providence Ln,Charlotte,NC,28277,35.022706,-80.854062,5,Home Services;Real Estate Services;Real Estate;Home Staging;Shopping;Home Decor;Interior Design;Home & Garden
A Mouthful Concessions & Catering,2601 B Tuckaseegee Rd,Charlotte,NC,28208,35.238151,-80.8756068,4,American (Traditional);Chicken Wings;Burgers;Restaurants
A Piece Of Havana,11126 S Tryon St,Charlotte,NC,28273,35.116692,-80.962647,3.5,Restaurants;Cuban
A Plus Alterations,"4735 Sharon Rd, Ste 101",Charlotte,NC,28210,35.147102,-80.8311382,4,Local Services;Sewing & Alterations;Dry Cleaning & Laundry
A Plus Garage Doors,"6000 Fairview Rd, Ste 1200",Charlotte,NC,28210,35.1505016,-80.8389371,1,Home Services;Garage Door Services;Contractors
A Preferred Women's Health Center,3220 Latrobe Dr,Charlotte,NC,28211,35.1989767,-80.8036299,3.5,Medical Centers;Health & Medical
A Smile 4 U Family Dentistry,"9010 Glenwater Dr, Ste 108",Charlotte,NC,28262,35.3143399,-80.7513536,5,Health & Medical;Pediatric Dentists;General Dentistry;Dentists;Cosmetic Dentists
A Step Above Limousine Service,3377 Weston St,Charlotte,NC,28209,35.194182,-80.870358,3.5,Limos;Hotels & Travel;Event Planning & Services;Transportation;Airport Shuttles;Party Bus Rentals
A Strong You Fitness Boot Camp,4635 Pineville-Matthews Rd,Charlotte,NC,28270,35.117891,-80.760415,5,Fitness & Instruction;Boot Camps;Active Life;Trainers
A Taste Of Carolina,5501 Josh Birmingham Pkwy,Charlotte,NC,28208,35.219378,-80.945041,3,Restaurants;American (Traditional)
A Taste of Philly,9015-5B JM Keynes Dr,Charlotte,NC,28262,35.3106099,-80.748385,3,Restaurants;Cheesesteaks
A Tech Repair,"6021 The Plz Rd, Unit A",Charlotte,NC,28215,35.2549214,-80.7440273,1.5,Local Services;Appliances & Repair
A Woman's Choice of Charlotte,421 N Wendover Rd,Charlotte,NC,28211,35.189592,-80.805824,3.5,Health & Medical;Obstetricians & Gynecologists;Doctors
A&E Factory Service,,Charlotte,NC,,35.2270869,-80.8431267,1,Local Services;Appliances & Repair
A-1 Automotive Inspections,5401 Monroe Rd,Charlotte,NC,28212,35.1895727,-80.7719715,1.5,Na
A-1 Clean Up & Movers,810 S Hoskins Rd,Charlotte,NC,28208,35.2590504,-80.8938554,2.5,Home Services;Local Services;Junk Removal & Hauling;Dumpster Rental;Movers
A1 Janitorial Supply & Vacuum Shop,3052 Eastway Dr,Charlotte,NC,28205,35.2141019,-80.782338,4.5,Shopping;Home & Garden;Home Services;Home Cleaning
A-1 Wildlife Control,,Charlotte,NC,28277,35.231402,-80.845841,4,Local Services;Wildlife Control;Home Services;Pest Control;Home Inspectors
A1A Roadside Assistance Of Charlotte - Charlotte Road Angels,15720 John J Delaney Dr,Charlotte,NC,28277,35.0579004,-80.8496063,5,Auto Insurance;Insurance;Keys & Locksmiths;Automotive;Wheel & Rim Repair;Home Services;Roadside Assistance;Financial Services;Tires;Auto Repair;Towing;Auto Parts & Supplies
AAA - Albemarle Rd,5617 Albemarle Rd,Charlotte,NC,28212,35.2044992,-80.7522725,3.5,Insurance;Hotels & Travel;Auto Repair;Automotive;Roadside Assistance;Travel Services;Financial Services;Tires
AAA - Ballantyne,11338 N Community House Rd,Charlotte,NC,28277,35.0570645,-80.8354387,2,Tours;Travel Services;Auto Repair;Financial Services;Oil Change Stations;Hotels & Travel;Automotive;Insurance
AAA - Charlotte,6600 Aaa Dr,Charlotte,NC,28212,35.203544,-80.733167,3.5,Automotive;Local Services;Travel Services;Financial Services;Hotels & Travel;Notaries;Insurance;Roadside Assistance
AAA - Montford Dr,1812 Montford Dr,Charlotte,NC,28209,35.1707306,-80.8463414,3.5,Travel Services;Automotive;Auto Repair;Tours;Insurance;Financial Services;Hotels & Travel
AAA - Pineville,"10403 Park Rd, Ste A",Charlotte,NC,28210,35.093599,-80.867239,5,Hotels & Travel;Oil Change Stations;Automotive;Tires;Travel Services;Financial Services;Insurance;Auto Repair;Transmission Repair
AAA - Prosperity Church Rd,"3016 Prosperity Church Rd, Ste A",Charlotte,NC,28269,35.3433316,-80.7690273,3,Tires;Automotive;Hotels & Travel;Financial Services;Insurance;Auto Repair;Tours;Travel Services
AAA - South End,2421 South Blvd,Charlotte,NC,28217,35.2037203,-80.8636845,3.5,Hotels & Travel;Automotive;Auto Repair;Travel Services;Insurance;Tours;Financial Services
AAA - Steele Creek,13540 Steelecroft Pkwy,Charlotte,NC,28278,35.1010597,-80.9930726,3.5,Travel Services;Automotive;Hotels & Travel;Tours;Insurance;Auto Repair;Financial Services
AAA - W T Harris Blvd,1740 Flat River Dr,Charlotte,NC,28262,35.3172115,-80.7730238,3.5,Auto Repair;Financial Services;Automotive;Travel Services;Tours;Hotels & Travel;Insurance
AAA Advanced Therapeutics,1200 E Morehead St,Charlotte,NC,28204,35.2095684,-80.840955,2.5,Beauty & Spas;Massage
AAA Carolinas,5130 South Blvd,Charlotte,NC,28217,35.166595,-80.87675,3,Auto Repair;Automotive
AAA Carolinas,5130 South Blvd,Charlotte,NC,28217,35.1666015,-80.8767369,3.5,Auto Repair;Automotive;Oil Change Stations
AAA Carolinas,4732 Sharon Rd,Charlotte,NC,28210,35.1480241,-80.8333234,2,Financial Services;Hotels & Travel;Insurance;Travel Services
AAA City Plumbing,,Charlotte,NC,28209,35.1811188,-80.8488498,3,Water Heater Installation/Repair;Septic Services;Professional Services;Plumbing;Home Services;Local Services
AAA Cleaner & Tailor,14021 Conlan Cir,Charlotte,NC,28277,35.056349,-80.853212,3.5,Local Services;Bridal;Sewing & Alterations;Dry Cleaning & Laundry;Shopping;Laundry Services
AAA Cleaner Tailor,2904 Yorkmont Rd,Charlotte,NC,28208,35.1902724,-80.9287913,4,Laundry Services;Dry Cleaning & Laundry;Local Services
AAA Pet Services,4928 Park Rd,Charlotte,NC,28209,35.163025,-80.849704,4,Pets;Veterinarians;Pet Services;Pet Training;Pet Groomers
Aabie's Hair Braiding,5030 N Tryon St,Charlotte,NC,28213,35.2578022,-80.7814952,1.5,Beauty & Spas;Hair Salons;Hair Stylists
AAIR of Charlotte,8810 Blakeney Professional Dr,Charlotte,NC,28277,35.032868,-80.809588,2,Doctors;Allergists;Health & Medical
Aalltech Mobile Auto,"8116 S Tryon St, Ste 230",Charlotte,NC,28273,35.1461134,-80.9294623,1,Automotive;Auto Repair
Aamavi Africa Hair Salon,2620 S Tryon St,Charlotte,NC,28203,35.2054662,-80.8699214,2.5,Hair Salons;Beauty & Spas
AAMCO Transmissions & Total Car Care,2413 S Tryon St,Charlotte,NC,28203,35.2070969,-80.8678037,5,Auto Repair;Oil Change Stations;Auto Parts & Supplies;Transmission Repair;Automotive
Aarushi Salon,"1627 Sardis Rd N, Ste 4C",Charlotte,NC,28270,35.1407331,-80.7382008,5,Hair Removal;Hair Salons;Beauty & Spas;Threading Services;Waxing
Abari Game Bar,1721 N Davidson St,Charlotte,NC,28206,35.23612,-80.82015,4,Nightlife;Arcades;Arts & Entertainment;Bars
A-Bay Laserwash,1906 Sardis Rd N,Charlotte,NC,28270,35.14061313,-80.73428318,5,Automotive;Car Wash
Abbeydale,"112 South Tryon St, Ste 600",Charlotte,NC,28202,35.2270964,-80.8438287,5,Shopping;Fashion;Men's Clothing
ABC Liquor Store,9500 South Blvd,Charlotte,NC,28273,35.107595,-80.882188,3,Beer;Wine & Spirits;Food
Above and Beyond Movers,,Charlotte,NC,28262,35.231402,-80.845841,5,Hotels & Travel;Home Services;Transportation;Movers
ABRA Auto Body & Glass,10421 S Tryon St,Charlotte,NC,28273,35.119782,-80.9520101,3,Windshield Installation & Repair;Body Shops;Auto Repair;Auto Glass Services;Automotive
ABRA Auto Body & Glass,4750 Albemarle Rd,Charlotte,NC,28205,35.1987104,-80.767355,3.5,Automotive;Windshield Installation & Repair;Body Shops;Wheel & Rim Repair;Auto Repair;Auto Glass Services
ABRA Auto Body & Glass,1429 S Mint St,Charlotte,NC,28203,35.219358,-80.85964,3,Automotive;Body Shops;Auto Glass Services;Windshield Installation & Repair
Abraham Joseph Jewelers,"14825 Ballantyne Village Way, Ste 120",Charlotte,NC,28277,35.0541217,-80.85154831,5,Local Services;Watch Repair;Jewelry Repair;Jewelry;Shopping
Absolute Exterior Cleaning,8920 Danson Dr,Charlotte,NC,28277,35.0365305,-80.8066979,5,Gutter Services;Window Washing;Pressure Washers;Home Services
Absolute Glass,6120 Brookshire Blvd,Charlotte,NC,28216,35.286805,-80.905282,3,Home Services;Windows Installation
Absolute Organics,,Charlotte,NC,28233,35.2219554,-80.8328724,4,Farmers Market;Grocery;Food
Absolute Perfection Roofing and Construction,,Charlotte,NC,28277,35.231402,-80.845841,2,Roofing;Contractors;Home Services;Building Supplies
Absolute Pilates,"6707 Fairview Rd, Ste A",Charlotte,NC,28210,35.14837,-80.828814,5,Pilates;Active Life;Barre Classes;Trainers;Fitness & Instruction
Absolute Resurface,"6420 Rea Rd, Ste 193",Charlotte,NC,28277,35.0779132,-80.8182957,5,Home Services;Local Services;Carpet Cleaning;Carpeting
Abugida Ethiopian Cafe & Resturant,3007 Central Ave,Charlotte,NC,28205,35.21797739,-80.79394151,5,Restaurants;Ethiopian
"Academy Mechanical Repair, Inc",,Charlotte,NC,28269,35.3352529,-80.7990185,1,Heating & Air Conditioning/HVAC;Home Cleaning;Home Services
Academy Of Nail Technology & Esthetics,415 Minuet Ln,Charlotte,NC,28217,35.167789,-80.88202,2.5,Nail Salons;Skin Care;Vocational & Technical School;Cosmetics & Beauty Supply;Shopping;Specialty Schools;Beauty & Spas;Cosmetology Schools;Education
Acadia Shutters & Blinds,"15720 Brixham Hill Ave, Ste 300",Charlotte,NC,28277,35.0592578,-80.8521302,4.5,Home Services;Home Window Tinting;Shades & Blinds;Shutters
Accent Comfort Services LLC,5035-C West W T Harris Blvd,Charlotte,NC,28269,35.2466236,-80.737506,3.5,Heating & Air Conditioning/HVAC;Home Services;Plumbing
Accent Glass,4031 S Blvd,Charlotte,NC,28209,35.187199,-80.874672,4,Automotive;Shopping;Furniture Stores;Glass & Mirrors;Windows Installation;Home Services;Home & Garden;Auto Parts & Supplies;Auto Glass Services;Home Decor
Accent Wood Floors,"3415 Westinghouse Blvd, Ste 4",Charlotte,NC,28273,35.1318917,-80.9635343,5,Home Services;Carpenters;Flooring;Professional Services;Refinishing Services
Access College America,"214 N Pine St, Ste 3208",Charlotte,NC,28202,35.2305981,-80.8443224,5,Education;College Counseling;Educational Services
Access Computer,7808 Pineville Matthews Rd,Charlotte,NC,28226,35.0879953,-80.8519716,2.5,Local Services;Computers;IT Services & Computer Repair;Shopping
Access Counseling & NeuroTherapy,10030 Park Cedar Dr,Charlotte,NC,28210,35.092124,-80.86631,5,Career Counseling;Health & Medical;Counseling & Mental Health;Psychologists;Professional Services;Life Coach
Accident Recovery Center,"3120 Wilkinson Blvd, Ste D3",Charlotte,NC,28208,35.2246466,-80.8921234,5,Health & Medical;Physical Therapy;Chiropractors
Accrue Partners,"1000 W Morehead St, Ste 200",Charlotte,NC,28208,35.22840588,-80.85835882,2.5,Professional Services;Employment Agencies
Ace Custom Tattooing,1312 Thomas Ave,Charlotte,NC,28205,35.220824,-80.811761,5,Beauty & Spas;Tattoo
ACE Movers,1003 Louise Ave,Charlotte,NC,28205,35.2250792,-80.8195034,5,Movers;Home Services;Local Services;Self Storage;Packing Services
Ace of Panes Window Cleaning,"1815 Whispering Forest Dr, Ste 307",Charlotte,NC,28270,35.107563,-80.762787,5,Home Services;Window Washing;Gutter Services
Ace Towing & Recovery,9515 Hebron Commerce Dr,Charlotte,NC,28273,35.1264935,-80.8903203,5,Towing;Automotive
Acosta Heating & Cooling,3915 Stuart Andrew Blvd,Charlotte,NC,28217,35.194275,-80.885248,4,Home Services;Solar Installation;Heating & Air Conditioning/HVAC
Action Appliance,,Charlotte,NC,28208,35.212973,-80.9097127,3.5,Local Services;Professional Services;Editorial Services;Appliances & Repair
Action Laundry,9620 University City Blvd,Charlotte,NC,28213,35.3062898,-80.7216544,2,Laundry Services;Local Services;Dry Cleaning & Laundry
Action Painting Pros,360 N Caswell Rd,Charlotte,NC,28209,35.21199,-80.8186647,2.5,Home Services;Painters;Roofing
Actor's Theatre of Charlotte,2219 Freedom Dr,Charlotte,NC,28208,35.2331462,-80.8771707,4.5,Performing Arts;Arts & Entertainment
Acupuncture of the Carolinas,1714 S Tryon St,Charlotte,NC,28203,35.214522,-80.861023,5,Acupuncture;Health & Medical;Traditional Chinese Medicine
AD Fences and Decks,5419 Haybridge Rd,Charlotte,NC,28269,35.315736,-80.798455,2,Home Services;Decks & Railing;Fences & Gates;Contractors
Adam & Eve Charlotte,1437 A S Blvd,Charlotte,NC,28203,35.2744594,-80.854423,2,Lingerie;Fashion;Shopping;Adult
Adams 7th Street Market,"401 Hawthorne Ln, Ste 100",Charlotte,NC,28204,35.2161011,-80.8220996,4,Restaurants;Breakfast & Brunch;Sandwiches;Delis
Adams Auto Group,6027 N Tryon St,Charlotte,NC,28213,35.269229,-80.768637,1.5,Automotive;Car Dealers
Adams Heating & Air Conditioning,600 Morris St,Charlotte,NC,28202,35.2268734,-80.8548648,4.5,Heating & Air Conditioning/HVAC;Home Services
Addison Park,6225 Hackberry Trl,Charlotte,NC,28269,35.3334137,-80.8064398,3.5,Apartments;Real Estate;Home Services
Adisil,"2115 E Arbors Dr, Suite 190",Charlotte,NC,28262,35.337406,-80.7570662,2.5,Indian;Coffee & Tea;Fast Food;Restaurants;Food
Admirals Club,5501 Josh Birmingham Pkwy,Charlotte,NC,28208,35.22034973,-80.94256046,3,Bars;Airport Lounges;Nightlife;Travel Services;Pubs;Social Clubs;Arts & Entertainment;Hotels & Travel
"ADT Security Services, Inc.","2530 Whitehall Park Dr, Suite 500",Charlotte,NC,28273,35.1428526,-80.9363497,1,Home Automation;Security Systems;Professional Services;Home Services;Security Services
Adult Dentistry of Ballantyne,"7820 Ballantyne Commons Pkwy, Ste 102",Charlotte,NC,28277,35.0595636,-80.8113954,3.5,Health & Medical;General Dentistry;Dentists;Cosmetic Dentists
Advance Auto Parts,8515 Hankins Rd,Charlotte,NC,28269,35.33938703,-80.83316982,4,Auto Parts & Supplies;Automotive
Advance Auto Parts,2910 Freedom Dr,Charlotte,NC,28208,35.24114171,-80.88636742,3.5,Automotive;Auto Parts & Supplies
Advance Auto Parts,10025 Albermarle Rd,Charlotte,NC,28227,35.20936657,-80.67283906,1,Automotive;Auto Parts & Supplies
Advance Auto Parts,2726 W Sugar Creek Rd,Charlotte,NC,28262,35.29982732,-80.80050319,4.5,Auto Parts & Supplies;Automotive
Advance Auto Parts,4309 Sunset Rd,Charlotte,NC,28216,35.30586451,-80.85729897,3.5,Automotive;Auto Parts & Supplies
